_id,restaurant_id,name,yield,estimated_price,raw_materials
2a6e3b60-ed85-4549-ad3a-5ba82ba5bbce,507f1f77bcf86cd799439011,Plain Cream Cheese,"2x 6"" Pans of Plain Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}]"
fd80612f-20d3-4042-a5c7-9c31e3f5d037,507f1f77bcf86cd799439011,Scallion Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""scallion"", ""measure_unit"": ""oz"", ""measure_quantity"": 16.0, ""is_raw_material"": false}]"
922f0261-047f-4c06-9fb4-20bcf81e3622,507f1f77bcf86cd799439011,Dill & Black Pepper Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""Black Pepper"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 5.0, ""is_raw_material"": false}, {""material_name"": ""DIll"", ""measure_unit"": ""oz"", ""measure_quantity"": 140.0, ""is_raw_material"": false}]"
888b2f5a-5200-42f7-931a-c3ffc4e663cd,507f1f77bcf86cd799439011,SMoked Lox Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.25, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""smoked lox"", ""measure_unit"": ""quart"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
4775e132-706a-420a-a519-bad6775c01a9,507f1f77bcf86cd799439011,Smoked Lox,quart containers evenly (~ 12 ounces),,"[{""material_name"": ""wood chips"", ""measure_unit"": ""6\"" pan"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.25, ""is_raw_material"": false}, {""material_name"": ""fish fillet box"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}, {""material_name"": ""tin foil"", ""measure_unit"": null, ""measure_quantity"": null, ""is_raw_material"": false}]"
5c298ef6-d7ab-4e05-9c17-f7a5156efbfd,507f1f77bcf86cd799439011,Caramelized Onion&Roasted Garlic Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""caramelized onion"", ""measure_unit"": ""Cups"", ""measure_quantity"": 3.0, ""is_raw_material"": false}, {""material_name"": ""roasted Garlic"", ""measure_unit"": ""cups"", ""measure_quantity"": 2.0, ""is_raw_material"": false}, {""material_name"": ""Ground lack Pepper"", ""measure_unit"": ""teaspoons"", ""measure_quantity"": 4.0, ""is_raw_material"": false}]"
6a05deef-287c-4e62-a480-cb3325994362,507f1f77bcf86cd799439011,Caramelized Onions,3 cup portions,,"[{""material_name"": ""White Onion"", ""measure_unit"": ""lb"", ""measure_quantity"": 5.0, ""is_raw_material"": false}, {""material_name"": ""salt"", ""measure_unit"": ""Tablespoon"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""sugar"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}]"
352866de-68ed-40dd-b69c-4e823032c0b9,507f1f77bcf86cd799439011,Roasted Garlic,2 cup portions,,"[{""material_name"": ""minced garlic"", ""measure_unit"": ""cups"", ""measure_quantity"": 5.0, ""is_raw_material"": false}, {""material_name"": ""Cooking Oil"", ""measure_unit"": ""Cup"", ""measure_quantity"": 2.0, ""is_raw_material"": false}]"
cab21324-d610-4e7d-aa23-80fadd22e03f,507f1f77bcf86cd799439011,Jalapeno Cream Cheese,,,"[{""material_name"": ""diced Jalapeno"", ""measure_unit"": ""Quart"", ""measure_quantity"": 1.0, ""is_raw_material"": false}, {""material_name"": ""cream cheese"", ""measure_unit"": ""pounds"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 1.0, ""is_raw_material"": false}]"
50878ae8-0c06-422c-ba47-45485042cded,507f1f77bcf86cd799439011,Tahini & Roasted Garlic Cream Cheese,"2x 6"" Pans of Cream Cheese",,"[{""material_name"": ""water"", ""measure_unit"": ""cup"", ""measure_quantity"": 0.5, ""is_raw_material"": false}, {""material_name"": ""Cream Cheese from block"", ""measure_unit"": ""Ibs"", ""measure_quantity"": 8.0, ""is_raw_material"": false}, {""material_name"": ""Tahini"", ""measure_unit"": ""oz"", ""measure_quantity"": 6.0, ""is_raw_material"": false}, {""material_name"": ""roasted garlic"", ""measure_unit"": ""Tablespoons"", ""measure_quantity"": 4.0, ""is_raw_material"": false}, {""material_name"": ""Salt"", ""measure_unit"": ""Teaspoons"", ""measure_quantity"": 3.0, ""is_raw_material"": false}]"
