_id,category
flour power,Dry Goods
sesame seeds white+,Dry Goods
jalapeno sliced,Produce
currants,Dry Goods
milk oat,Dairy
sugar granulated cane,Dry Goods
eggs liquid,Dairy
onion minced,Produce
onion,Produce
salt kosher coarse,Spices
glove nitrile,Paper Goods
yeast instant red lbl saf x,Baking Ingredients
tomato roma,Produce
onion green,Produce
herbs dill baby,Produce
onion white,Produce
onion italian red,Produce
avocado,Produce
fuel surcharge,Operating Expense
cucumber xfancy lg ea,Produce
herbs parsley italian bn,Produce
bag of moonshadow,Coffee & Tea
bag of ecliptic,Coffee & Tea
super champ all temp machine warewashing detergent,Cleaning Supplies
chlorine rinse super chlor,Cleaning Supplies
super dry concentrated rinse aid for low temperature machines,Cleaning Supplies
fs,Operating Expense
ca select farms mild cheddar cheese,Dairy
schreiber american cheese,Dairy
foodservice green onions,Produce
rodelle gourmet baking cocoa powder,Baking Ingredients
ghirardelli premium sauce,Condiments
califia farms cafe almond milk,Dairy
s pellegrino sparkling natural mineral water,Beverage
sanpellegrino italian sparkling drink,Beverage
windsoft bath tissue,Paper Goods
world centric compostable plastic hot cup lids,Paper Goods
bagcraft deli wrap,Paper Goods
philadelphia cream cheese,Dairy
kirkland signature whole milk,Dairy
kirkland signature orange juice,Beverage
dailys fully cooked diced bacon bits,Meat
red onions,Produce
cucumbers,Produce
world centric compostable plastic cold cup lids,Paper Goods
kraft husky fsc paper bags duro,Paper Goods
hot cup lids cpla,Paper Goods
hot cups compostable,Paper Goods
derma2 nitrile gloves,Paper Goods
taxes,Operating Expense
apron bib navy,Uniforms & Linens
towel bar blue,Uniforms & Linens
laundry bag,Uniforms & Linens
laundry bag rack,Equipment & Tools
mop handle wet,Cleaning Supplies
mop wet,Cleaning Supplies
glove nitrile xl,Paper Goods
glove nitrile medium,Paper Goods
tahini extra,Condiments
tahini extra grm,Condiments
pan spray premium,Cooking Aids
garlic minced,Produce
half & half qt,Dairy
poppy seed,Spices
malt powder diastatic+,Baking Ingredients
cornmeal yellow fine,Dry Goods
flour a/p unbleached,Dry Goods
flour a p unbleached,Dry Goods
flour medium rye,Dry Goods
cornmeal yellow fine,Dry Goods
yeast fresh +,Baking Ingredients
glove nitrile large,Paper Goods
sugar brown,Dry Goods
milk whole gallon red cap,Dairy
limonata cans,Beverage
milk almond,Dairy
almond barista blend,Dairy
tomato,Produce
herbs,Produce
ecliptic,Coffee & Tea
moonshadow,Coffee & Tea
decaf,Coffee & Tea
half,Dry Goods
wilcox liquid egg product cage free,Dairy
kirkland signature whole milk gallon,Dairy
schreiber american cheese slices,Dairy
super champ all temp machine,Cleaning Supplies
chlorine rinse,Cleaning Supplies
super dry concentrated rinse,Cleaning Supplies
perform all temp dish detergent,Cleaning Supplies
perform all temp rinse agent,Cleaning Supplies
sani clean ii liquid chlorine sanitizer for low temperature warewashing machines,Cleaning Supplies
dish machine rental,Equipment Leases
rack count cycles,Equipment Leases
