_id,category
classic box,Combos
savory box,Combos
black & white box,Combos
plain box,Combos
everything box,Combos
pick your own box,Combos
plain,Sides
scallion,Sides
seasonal savory,Appetizers
seasonal sweet,Desserts
dill & black pepper,Sides
b e c classic,Sandwiches
egg & cheese,Combos
everyday lox,Appetizers
nova lox,Appetizers
avocado toast,Appetizers
carrot lox,Appetizers
eggs,Appetizers
lox,Appetizers
cheese slices,Sides
tomato,Sides
extra schmear tubs scallion,Sides
egg & cheese box,Combos
